model,defense,attack,cacc,asr,task_score,n_total,n_successful
model1,none,asr_eval,0.9644,1.0,0.0,,
model1,none,input_reduction,0.9644,0.0,96.44,193,0
model1,none,untargeted,0.9644,0.9482,5.0,193,183
model2,none,asr_eval,0.961,0.3551,61.97,,
model2,none,input_reduction,0.961,0.0,96.1,196,0
model2,none,untargeted,0.961,0.8776,11.76,196,172
model3,none,asr_eval,0.9266,0.0187,90.93,,
model3,none,input_reduction,0.9266,0.0,92.66,188,0
model3,none,untargeted,0.9266,0.6862,29.08,188,129
model1,pruning_0%,asr_eval,0.9644,0.0338,93.1867,,
model1,pruning_10%,asr_eval,0.9644,0.0338,93.1867,,
model1,pruning_20%,asr_eval,0.9656,0.0338,93.2975,,
model1,pruning_30%,asr_eval,0.9667,0.0315,93.626,,
model2,pruning_0%,asr_eval,0.961,0.0225,93.9365,,
model2,pruning_10%,asr_eval,0.961,0.0225,93.9365,,
model2,pruning_20%,asr_eval,0.961,0.0225,93.9365,,
model2,pruning_30%,asr_eval,0.961,0.0225,93.9365,,
model3,pruning_0%,asr_eval,0.9266,0.0721,85.9823,,
model3,pruning_10%,asr_eval,0.9255,0.0698,86.0843,,
model3,pruning_20%,asr_eval,0.9266,0.0698,86.191,,
model3,pruning_30%,asr_eval,0.9209,0.0766,85.0354,,
